COM7,M24,COM7M24,1000,2135,100
COM7,U24,COM7U24,1000,2135,100
COM7,Z24,COM7Z24,1000,2135,100
COM7,H25,COM7H25,1000,2135,100
CPALL,M24,CPALLM24,1000,3745,20
CPALL,U24,CPALLU24,1000,3745,20
CPALL,Z24,CPALLZ24,1000,3745,20
CPALL,H25,CPALLH25,1000,3745,20
CPF,M24,CPFM24,1000,2030,100
CPF,U24,CPFU24,1000,2030,100
CPF,Z24,CPFZ24,1000,2030,100
CPF,H25,CPFH25,1000,2030,100
CPN,M24,CPNM24,1000,5005,20
CPN,U24,CPNU24,1000,5005,20
CPN,Z24,CPNZ24,1000,5005,20
CPN,H25,CPNH25,1000,5005,20
CRC,M24,CRCM24,1000,3465,100
CRC,U24,CRCU24,1000,3465,100
CRC,Z24,CRCZ24,1000,3465,100
CRC,H25,CRCH25,1000,3465,100
DELTA,M24,DELTAM24,1000,10780,20
DELTA,U24,DELTAU24,1000,10780,20
DELTA,Z24,DELTAZ24,1000,10780,20
DELTA,H25,DELTAH25,1000,10780,20
EA,M24,EAM24,1000,4830,20
EA,U24,EAU24,1000,4830,20
EA,Z24,EAZ24,1000,4830,20
EA,H25,EAH25,1000,4830,20
EASTW,M24,EASTWM24,1000,210,500
EASTW,U24,EASTWU24,1000,210,500
EASTW,Z24,EASTWZ24,1000,210,500
EASTW,H25,EASTWH25,1000,210,500
EGCO,M24,EGCOM24,1000,8295,20
EGCO,U24,EGCOU24,1000,8295,20
EGCO,Z24,EGCOZ24,1000,8295,20
EGCO,H25,EGCOH25,1000,8295,20
EPG,M24,EPGM24,1000,735,500
EPG,U24,EPGU24,1000,735,500
EPG,Z24,EPGZ24,1000,735,500
EPG,H25,EPGH25,1000,735,500
ERW,M24,ERWM24,1000,525,500
ERW,U24,ERWU24,1000,525,500
ERW,Z24,ERWZ24,1000,525,500
ERW,H25,ERWH25,1000,525,500
GFPT,M24,GFPTM24,1000,1190,100
GFPT,U24,GFPTU24,1000,1190,100
GFPT,Z24,GFPTZ24,1000,1190,100
GFPT,H25,GFPTH25,1000,1190,100
GLOBAL,M24X,GLOBALM24X,1040,1711.5,100
GLOBAL,U24X,GLOBALU24X,1040,1711.5,100
GLOBAL,Z24X,GLOBALZ24X,1040,1711.5,100
GLOBAL,H25,GLOBALH25,1000,1645,100
GPSC,M24,GPSCM24,1000,5215,20
GPSC,U24,GPSCU24,1000,5215,20
GPSC,Z24,GPSCZ24,1000,5215,20
GPSC,H25,GPSCH25,1000,5215,20
GULF,M24,GULFM24,1000,3150,100
GULF,U24,GULFU24,1000,3150,100
GULF,Z24,GULFZ24,1000,3150,100
GULF,H25,GULFH25,1000,3150,100
GUNKUL,M24,GUNKULM24,1000,245,500
GUNKUL,U24,GUNKULU24,1000,245,500
GUNKUL,Z24,GUNKULZ24,1000,245,500
GUNKUL,H25,GUNKULH25,1000,245,500
HANA,M24,HANAM24,1000,5845,20
HANA,U24,HANAU24,1000,5845,20
HANA,Z24,HANAZ24,1000,5845,20
HANA,H25,HANAH25,1000,5845,20
HMPRO,M24,HMPROM24,1000,840,100
HMPRO,U24,HMPROU24,1000,840,100
HMPRO,Z24,HMPROZ24,1000,840,100
HMPRO,H25,HMPROH25,1000,840,100
ICHI,M24,ICHIM24,1000,2030,100
ICHI,U24,ICHIU24,1000,2030,100
ICHI,Z24,ICHIZ24,1000,2030,100
ICHI,H25,ICHIH25,1000,2030,100
INTUCH,M24,INTUCHM24,1000,6580,20
INTUCH,U24,INTUCHU24,1000,6580,20
INTUCH,Z24,INTUCHZ24,1000,6580,20
INTUCH,H25,INTUCHH25,1000,6580,20
IRPC,M24,IRPCM24,1000,175,500
IRPC,U24,IRPCU24,1000,175,500
IRPC,Z24,IRPCZ24,1000,175,500
IRPC,H25,IRPCH25,1000,175,500
ITD,M24,ITDM24,1000,210,500
ITD,U24,ITDU24,1000,210,500
ITD,Z24,ITDZ24,1000,210,500
ITD,H25,ITDH25,1000,210,500
IVL,M24,IVLM24,1000,2520,100
IVL,U24,IVLU24,1000,2520,100
IVL,Z24,IVLZ24,1000,2520,100
IVL,H25,IVLH25,1000,2520,100
JAS,M24X,JASM24X,1375,819,500
JAS,U24X,JASU24X,1375,819,500
JAS,Z24,JASZ24,1000,595,500
JAS,H25,JASH25,1000,595,500
JMT,M24,JMTM24,1000,3115,100
JMT,U24,JMTU24,1000,3115,100
JMT,Z24,JMTZ24,1000,3115,100
JMT,H25,JMTH25,1000,3115,100
KBANK,M24,KBANKM24,1000,6895,20
KBANK,U24,KBANKU24,1000,6895,20
KBANK,Z24,KBANKZ24,1000,6895,20
KBANK,H25,KBANKH25,1000,6895,20
KCE,M24,KCEM24,1000,4690,20
KCE,U24,KCEU24,1000,4690,20
KCE,Z24,KCEZ24,1000,4690,20
KCE,H25,KCEH25,1000,4690,20
KEX,M24,KEXM24,1000,665,500
KEX,U24,KEXU24,1000,665,500
KEX,Z24,KEXZ24,1000,665,500
KEX,H25,KEXH25,1000,665,500
KKP,M24,KKPM24,1000,3780,20
KKP,U24,KKPU24,1000,3780,20
KKP,Z24,KKPZ24,1000,3780,20
KKP,H25,KKPH25,1000,3780,20
KTB,M24,KTBM24,1000,910,100
KTB,U24,KTBU24,1000,910,100
KTB,Z24,KTBZ24,1000,910,100
KTB,H25,KTBH25,1000,910,100
KTC,M24,KTCM24,1000,3850,100
KTC,U24,KTCU24,1000,3850,100
KTC,Z24,KTCZ24,1000,3850,100
KTC,H25,KTCH25,1000,3850,100
LH,M24,LHM24,1000,525,500
LH,U24,LHU24,1000,525,500
LH,Z24,LHZ24,1000,525,500
LH,H25,LHH25,1000,525,500
LPN,M24,LPNM24,1000,210,500
LPN,U24,LPNU24,1000,210,500
LPN,Z24,LPNZ24,1000,210,500
LPN,H25,LPNH25,1000,210,500
M,M24,MM24,1000,3010,100
M,U24,MU24,1000,3010,100
M,Z24,MZ24,1000,3010,100
M,H25,MH25,1000,3010,100
MAJOR,M24,MAJORM24,1000,1750,100
MAJOR,U24,MAJORU24,1000,1750,100
MAJOR,Z24,MAJORZ24,1000,1750,100
MAJOR,H25,MAJORH25,1000,1750,100
MBK,M24,MBKM24,1000,1960,100
MBK,U24,MBKU24,1000,1960,100
MBK,Z24,MBKZ24,1000,1960,100
MBK,H25,MBKH25,1000,1960,100
MEGA,M24,MEGAM24,1000,3640,100
MEGA,U24,MEGAU24,1000,3640,100
MEGA,Z24,MEGAZ24,1000,3640,100
MEGA,H25,MEGAH25,1000,3640,100
MINT,M24,MINTM24,1000,2625,100
MINT,U24,MINTU24,1000,2625,100
MINT,Z24,MINTZ24,1000,2625,100
MINT,H25,MINTH25,1000,2625,100
MTC,M24,MTCM24,1000,4900,100
MTC,U24,MTCU24,1000,4900,100
MTC,Z24,MTCZ24,1000,4900,100
MTC,H25,MTCH25,1000,4900,100
OR,M24,ORM24,1000,1295,100
OR,U24,ORU24,1000,1295,100
OR,Z24,ORZ24,1000,1295,100
OR,H25,ORH25,1000,1295,100
ORI,M24,ORIM24,1000,735,500
ORI,U24,ORIU24,1000,735,500
ORI,Z24,ORIZ24,1000,735,500
ORI,H25,ORIH25,1000,735,500
OSP,M24X,OSPM24X,1028,2051,100
OSP,U24,OSPU24,1000,1995,100
OSP,Z24,OSPZ24,1000,1995,100
OSP,H25,OSPH25,1000,1995,100
PLANB,M24,PLANBM24,1000,805,500
PLANB,U24,PLANBU24,1000,805,500
PLANB,Z24,PLANBZ24,1000,805,500
PLANB,H25,PLANBH25,1000,805,500
PRM,M24,PRMM24,1000,910,500
PRM,U24,PRMU24,1000,910,500
PRM,Z24,PRMZ24,1000,910,500
PRM,H25,PRMH25,1000,910,500
PSH,M24,PSHM24,1000,1015,100
PSH,U24,PSHU24,1000,1015,100
PSH,Z24,PSHZ24,1000,1015,100
PSH,H25,PSHH25,1000,1015,100
PSL,M24,PSLM24,1000,1575,100
PSL,U24,PSLU24,1000,1575,100
PSL,Z24,PSLZ24,1000,1575,100
PSL,H25,PSLH25,1000,1575,100
PTG,M24,PTGM24,1000,945,100
PTG,U24,PTGU24,1000,945,100
PTG,Z24,PTGZ24,1000,945,100
PTG,H25,PTGH25,1000,945,100
PTT,M24,PTTM24,1000,1610,100
PTT,U24,PTTU24,1000,1610,100
PTT,Z24,PTTZ24,1000,1610,100
PTT,H25,PTTH25,1000,1610,100
PTTEP,M24,PTTEPM24,1000,9870,20
PTTEP,U24,PTTEPU24,1000,9870,20
PTTEP,Z24,PTTEPZ24,1000,9870,20
PTTEP,H25,PTTEPH25,1000,9870,20
PTTGC,M24,PTTGCM24,1000,3430,100
PTTGC,U24,PTTGCU24,1000,3430,100
PTTGC,Z24,PTTGCZ24,1000,3430,100
PTTGC,H25,PTTGCH25,1000,3430,100
QH,M24,QHM24,1000,175,500
QH,U24,QHU24,1000,175,500
QH,Z24,QHZ24,1000,175,500
QH,H25,QHH25,1000,175,500
RATCH,M24,RATCHM24,1000,2205,100
RATCH,U24,RATCHU24,1000,2205,100
RATCH,Z24,RATCHZ24,1000,2205,100
RATCH,H25,RATCHH25,1000,2205,100
RS,M24,RSM24,1000,2030,100
RS,U24,RSU24,1000,2030,100
RS,Z24,RSZ24,1000,2030,100
RS,H25,RSH25,1000,2030,100
S,M24,SM24,1000,105,500
S,U24,SU24,1000,105,500
S,Z24,SZ24,1000,105,500
S,H25,SH25,1000,105,500
SAMART,M24,SAMARTM24,1000,980,500
SAMART,U24,SAMARTU24,1000,980,500
SAMART,Z24,SAMARTZ24,1000,980,500
SAMART,H25,SAMARTH25,1000,980,500
SAWAD,M24X,SAWADM24X,1100,4851,20
SAWAD,U24X,SAWADU24X,1100,4851,20
SAWAD,Z24X,SAWADZ24X,1100,4851,20
SAWAD,H25X,SAWADH25X,1100,4851,20
SCB,M24,SCBM24,1000,5635,20
SCB,U24,SCBU24,1000,5635,20
SCB,Z24,SCBZ24,1000,5635,20
SCB,H25,SCBH25,1000,5635,20
SCC,M24,SCCM24,1000,12950,20
SCC,U24,SCCU24,1000,12950,20
SCC,Z24,SCCZ24,1000,12950,20
SCC,H25,SCCH25,1000,12950,20
SCGP,M24,SCGPM24,1000,3535,100
SCGP,U24,SCGPU24,1000,3535,100
SCGP,Z24,SCGPZ24,1000,3535,100
SCGP,H25,SCGPH25,1000,3535,100
SGP,M24,SGPM24,1000,840,500
SGP,U24,SGPU24,1000,840,500
SGP,Z24,SGPZ24,1000,840,500
SGP,H25,SGPH25,1000,840,500
SIRI,M24,SIRIM24,1000,175,500
SIRI,U24,SIRIU24,1000,175,500
SIRI,Z24,SIRIZ24,1000,175,500
SIRI,H25,SIRIH25,1000,175,500
SPALI,M24,SPALIM24,1000,1575,100
SPALI,U24,SPALIU24,1000,1575,100
SPALI,Z24,SPALIZ24,1000,1575,100
SPALI,H25,SPALIH25,1000,1575,100
SPCG,M24,SPCGM24,1000,1050,100
SPCG,U24,SPCGU24,1000,1050,100
